method,feasibility_rate,mean_objective_ratio,median_disclosed_constraints,mean_rounds,mean_max_violation
adaptive_1,1.0,1.0,22.0,5.403333333333333,3.774758283725532e-16
adaptive_2,1.0,0.9999999999999998,25.0,5.04,3.9968028886505636e-16
adaptive_4,1.0,0.9999999999999998,31.0,4.256666666666667,4.0523140398818213e-16
adaptive_8,1.0,1.0,46.0,3.3033333333333332,4.951594689828198e-16
full_disclosure,1.0,1.0,90.0,1.0,8.169391089533444e-16
static_1,0.0,,5.0,1.0,0.6499613381489773
static_2,0.0,,10.0,1.0,0.4662162598734896
static_4,0.0,,20.0,1.0,0.2742248587474477
static_8,0.0,,40.0,1.0,0.14301260906207222
