container_path,member_path,size_bytes,sha256,extension,disposition,corpus_path,physical_match,phase,artifact_type
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/results.json,4622,e262f2f031c97c4767e84b8609791936b9d77a39eaed3ee7b4577f5336e0c2e9,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/e2/e262f2f031c97c4767e84b8609791936b9d77a39eaed3ee7b4577f5336e0c2e9.json,,v0.4-operationalization,experiment-or-result
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/experiments/schema_change_classifier/run.py,10367,83e572ab086c2103a5dee7dbd0a4645ab1dccdf7ac70bed21f60ff84d51a01f9,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/83/83e572ab086c2103a5dee7dbd0a4645ab1dccdf7ac70bed21f60ff84d51a01f9.py,,v0.4-operationalization,experiment-or-result
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/README.md,2197,f52777b349847a30a86e92c45a1d56a7350f6083efcba3978ae3e81608874a7b,md,already-searchable-physical,,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/instrument/sample_case/README.md,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/build_sample.py,24676,e3e8f93d763267849a72b4b098e8f43015dd3810cbe03029c8cbd66b2b1ada52,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/e3/e3e8f93d763267849a72b4b098e8f43015dd3810cbe03029c8cbd66b2b1ada52.py,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/case.json,1182,e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/e5/e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/outputs/adj-828b3c4d381d.json,1137,247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/24/247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_business/intake.json,732,fb3102da72365ba9bfb6382de266fa7c38b88f61d6f589544a961c8eb88f93c1,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/fb/fb3102da72365ba9bfb6382de266fa7c38b88f61d6f589544a961c8eb88f93c1.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_business/mandate-buyer_business-v1.json,1063,b2ca385c6cb3678773ffa627f0490131c5b678daaee03f6bb97c1fef1db66df4,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/b2/b2ca385c6cb3678773ffa627f0490131c5b678daaee03f6bb97c1fef1db66df4.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_data/intake.json,764,ec3f8223b58780a2e127991017ba2d7a6635a51ec4ada6c8226e5b495fde1818,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/ec/ec3f8223b58780a2e127991017ba2d7a6635a51ec4ada6c8226e5b495fde1818.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/buyer_data/mandate-buyer_data-v1.json,1394,9a21020a28e0227e37c494df519a667625b7496671cd20c3336134e51c272a60,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/9a/9a21020a28e0227e37c494df519a667625b7496671cd20c3336134e51c272a60.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_business/intake.json,730,ac91b93f7f8dcbb2f39a8e31e9809c94512eeee6377dc986448f9016e525449c,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/ac/ac91b93f7f8dcbb2f39a8e31e9809c94512eeee6377dc986448f9016e525449c.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_business/mandate-provider_business-v1.json,1006,ccbe21492848f72361c4dc6f9fba94e79e4012478c2d21f3aa800623ea5765b1,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/cc/ccbe21492848f72361c4dc6f9fba94e79e4012478c2d21f3aa800623ea5765b1.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_tech/intake.json,714,d6e9e2d2dd5ee3e2a215892281100751c4dc97d8da1e154463f3d52ff95494f7,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/d6/d6e9e2d2dd5ee3e2a215892281100751c4dc97d8da1e154463f3d52ff95494f7.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/private/provider_tech/mandate-provider_tech-v1.json,1296,1d4160ab887b1f8bcd38c3e3cdcad9d48356170775b619ecadfd4df9cec31567,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/1d/1d4160ab887b1f8bcd38c3e3cdcad9d48356170775b619ecadfd4df9cec31567.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/events.jsonl,10944,6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150,jsonl,extracted-unique-text,02_derived/zip-text-search-corpus/files/6d/6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150.jsonl,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/current.json,7975,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/66/66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/versions/v0001.json,5062,33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/33/33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/case/shared/relation/versions/v0002.json,7975,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/66/66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/change_report.json,10987,fca0ace82d8ae63b0617bc2e63b67bedbde9a9f11aea2f48417ff63bb90604a9,json,already-searchable-physical,,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/instrument/sample_case/change_report.json,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/compile_readiness.json,463,96277f759b8f80d4952b1753e6711302f20552ba03a718a82a642a953cd40721,json,already-searchable-physical,,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/instrument/sample_case/compile_readiness.json,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/metrics.json,978,ffab74112b7711585fb36f64e00657232b5068ea79dd289d751dea37965e8940,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/ff/ffab74112b7711585fb36f64e00657232b5068ea79dd289d751dea37965e8940.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/REDACTION_NOTICE.json,252,59c15d3456f91d87d0b8b2c3ed769efa05a99c078ea50fef23bc13a4e26244b2,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/59/59c15d3456f91d87d0b8b2c3ed769efa05a99c078ea50fef23bc13a4e26244b2.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/case.json,1182,e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/e5/e52d36bd39a663da1553ebe6a84ed08d483a00901d99c15f8bed393ac2ee0419.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/outputs/adj-828b3c4d381d.json,1137,247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/24/247e24361aee514bab0e07caa171c803262194e108299bca80e7ce80f78c313b.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/events.jsonl,10944,6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150,jsonl,extracted-unique-text,02_derived/zip-text-search-corpus/files/6d/6d721c059e28ad68b6670e6a8bc18c70cb845cefc16f461b5bb39d5f5686b150.jsonl,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/current.json,7975,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/66/66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0001.json,5062,33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/33/33df71aac5c206d3ef417c266cc0b977a9b392c5ff41cdb913ca9b558026df09.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/redacted_export/shared/relation/versions/v0002.json,7975,66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/66/66499282c8a5ef8535bfa51d0f0030513df758c3cdead84f556c19f5cad358cd.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/sample_summary.json,1493,137300b07b7808b0dab2ab0abc9ec5dfcc9c96eb6f7f89ac99b9eb0685016743,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/13/137300b07b7808b0dab2ab0abc9ec5dfcc9c96eb6f7f89ac99b9eb0685016743.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/sample_case/validation.json,128,2191644eab70f28bafb0265836cd7773e376cf55de12e76eda66d740775134a5,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/21/2191644eab70f28bafb0265836cd7773e376cf55de12e76eda66d740775134a5.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/README.md,671,3211252d292eed485b38e3eca57ac5e5a10881cdd0be84af9f86b31d0102e3f6,md,extracted-unique-text,02_derived/zip-text-search-corpus/files/32/3211252d292eed485b38e3eca57ac5e5a10881cdd0be84af9f86b31d0102e3f6.md,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/adjudication.json,536,37202b1979f65caa2b0e779102d945bb81ef4702822c4c9494dad697e28cdb2b,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/37/37202b1979f65caa2b0e779102d945bb81ef4702822c4c9494dad697e28cdb2b.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/case_screen.json,627,7fa009914d1248d4cd9ed3a616a4c94e9bbeb483e0a52351100a99335d58b826,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/7f/7fa009914d1248d4cd9ed3a616a4c94e9bbeb483e0a52351100a99335d58b826.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/event_payload.json,230,ef989ad1f2d072108ab3cb41872a003e58b772e185901035329f30d22029de81,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/ef/ef989ad1f2d072108ab3cb41872a003e58b772e185901035329f30d22029de81.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/followup.json,371,b7f0b58ba8087db60b874ed08eb993a45f51ebdd035cc9397fd0795e04f5e919,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/b7/b7f0b58ba8087db60b874ed08eb993a45f51ebdd035cc9397fd0795e04f5e919.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/mandate.json,550,367f4cd52f3ae051830e50429bafe8d3e8fb036bfcc1bf0d1d680e024cc4c302,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/36/367f4cd52f3ae051830e50429bafe8d3e8fb036bfcc1bf0d1d680e024cc4c302.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/private_intake.json,662,923e47b3574963cb20bac6fb156612d864ed15a79875f147c7294313cc098bf4,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/92/923e47b3574963cb20bac6fb156612d864ed15a79875f147c7294313cc098bf4.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/templates/relation_version.json,772,7c91b2d1f2487043200a1154001043bed75a48b28eb344d44cfe989df260dc9d,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/7c/7c91b2d1f2487043200a1154001043bed75a48b28eb344d44cfe989df260dc9d.json,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/README.md,5957,7a4c37713c5d083779920fc4f9fedf93af7bd0c84d2c4033b534faf852adef8b,md,already-searchable-physical,,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/README.md,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/tests/test_fieldkit.py,7268,982f2a31c148cc833f55c8ba1bfdd8f8488bdf5f9c208a30201f40749c877c5c,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/98/982f2a31c148cc833f55c8ba1bfdd8f8488bdf5f9c208a30201f40749c877c5c.py,,v0.4-operationalization,qa-or-test
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/__init__.py,209,1d33e27ab8535649071a318a9604e80f874f88bd0b5b1e32650d552116977871,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/1d/1d33e27ab8535649071a318a9604e80f874f88bd0b5b1e32650d552116977871.py,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/__main__.py,48,935a1c1166b0c1ea35a82256345000bf2c73ded718d77773bc27a71ecce28f7d,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/93/935a1c1166b0c1ea35a82256345000bf2c73ded718d77773bc27a71ecce28f7d.py,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/cli.py,6144,117fcb9976e54a94eb1a9d7efec1b5511dab78aadbeb4cd7089c870e985abf63,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/11/117fcb9976e54a94eb1a9d7efec1b5511dab78aadbeb4cd7089c870e985abf63.py,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/schema_change.py,13990,42e276501b93a6dc05358f3d672823a00f99dbe1d4cb6d76cfc8a6ad41de6cef,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/42/42e276501b93a6dc05358f3d672823a00f99dbe1d4cb6d76cfc8a6ad41de6cef.py,,v0.4-operationalization,specification-or-protocol
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/instrument/towow_fieldkit/towow_fieldkit/store.py,13995,8827c08d906b1efddc7382ad4ca74ada56b2baf33c9d70cee93705e9738cf98d,py,extracted-unique-text,02_derived/zip-text-search-corpus/files/88/8827c08d906b1efddc7382ad4ca74ada56b2baf33c9d70cee93705e9738cf98d.py,,v0.4-operationalization,instrument-or-code
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/RELEASE_QA.md,1265,4734ba7e58fb1ddc0c9b68e2bae3488b438860032f2a4d8e5cfa4a4597392c01,md,already-searchable-physical,,02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4/qa/RELEASE_QA.md,v0.4-operationalization,qa-or-test
02_WORKSPACE_SNAPSHOT/Towow_A2A_Independent_Research_v0.4.zip,Towow_A2A_Independent_Research_v0.4/qa/release_qa.json,1854,e574afeb22158a491472942dbdc71e87605182948016b7ee3889054ab85c88b5,json,extracted-unique-text,02_derived/zip-text-search-corpus/files/e5/e574afeb22158a491472942dbdc71e87605182948016b7ee3889054ab85c88b5.json,,v0.4-operationalization,qa-or-test
