instance,method,seed_per_agent,feasible,objective_ratio,proposed_objective_ratio,max_violation,disclosed_constraints,rounds
0,static_1,1,False,,1.1456468321182312,0.1884771981750185,5,1
0,adaptive_1,1,True,1.0000000000000004,1.0000000000000004,3.3306690738754696e-16,20,4
0,static_2,2,False,,1.374919869124766,0.34607239109766774,10,1
0,adaptive_2,2,True,0.9999999999999992,0.9999999999999992,5.551115123125783e-16,24,5
0,static_4,4,False,,1.2432103155963428,0.4671291371074945,20,1
0,adaptive_4,4,True,0.9999999999999999,0.9999999999999999,-1.1102230246251565e-16,34,4
0,static_8,8,False,,1.0552115325094176,0.11282498728011159,40,1
0,adaptive_8,8,True,0.9999999999999992,0.9999999999999992,5.551115123125783e-16,46,3
0,full_disclosure,18,True,1.0,1.0,5.551115123125783e-16,90,1
1,static_1,1,False,,1.7227975302135667,0.7078474723425972,5,1
1,adaptive_1,1,True,0.9999999999999994,0.9999999999999994,0.0,19,4
1,static_2,2,False,,1.2273385118260043,0.3715555422589947,10,1
1,adaptive_2,2,True,0.9999999999999997,0.9999999999999997,2.7755575615628914e-16,19,4
1,static_4,4,False,,1.2563710838282123,0.37581401715713214,20,1
1,adaptive_4,4,True,0.9999999999999994,0.9999999999999994,2.220446049250313e-16,34,4
1,static_8,8,False,,1.0823763848801558,0.13071839562961907,40,1
1,adaptive_8,8,True,0.9999999999999994,0.9999999999999994,2.220446049250313e-16,43,3
1,full_disclosure,18,True,1.0,1.0,6.661338147750939e-16,90,1
2,static_1,1,False,,1.600631683005898,0.8693129916795898,5,1
2,adaptive_1,1,True,1.0000000000000007,1.0000000000000007,6.661338147750939e-16,26,6
2,static_2,2,False,,1.2020001815125303,0.5700023455445874,10,1
2,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,4.440892098500626e-16,26,6
2,static_4,4,False,,1.1077639305141898,0.21308174649006295,20,1
2,adaptive_4,4,True,1.0,1.0,3.3306690738754696e-16,32,6
2,static_8,8,False,,1.0193290282661125,0.03879924860687989,40,1
2,adaptive_8,8,True,1.0,1.0,2.220446049250313e-16,44,3
2,full_disclosure,18,True,1.0,1.0,6.661338147750939e-16,90,1
3,static_1,1,False,,1.6761094766615918,0.7885172049530426,5,1
3,adaptive_1,1,True,1.0000000000000007,1.0000000000000007,4.996003610813204e-16,25,6
3,static_2,2,False,,1.2054018816942325,0.3000458789268121,10,1
3,adaptive_2,2,True,1.0000000000000004,1.0000000000000004,3.3306690738754696e-16,30,6
3,static_4,4,False,,1.136398858763,0.18704504425943314,20,1
3,adaptive_4,4,True,1.0000000000000007,1.0000000000000007,7.771561172376096e-16,35,5
3,static_8,8,False,,1.0146006839799504,0.06696160700007658,40,1
3,adaptive_8,8,True,1.0000000000000007,1.0000000000000007,1.7763568394002505e-15,43,2
3,full_disclosure,18,True,1.0,1.0,2.7755575615628914e-16,90,1
4,static_1,1,False,,1.2678326086600888,0.40893826706613146,5,1
4,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,23,6
4,static_2,2,False,,1.249913493921564,0.2797395952667572,10,1
4,adaptive_2,2,True,0.9999999999999997,0.9999999999999997,1.1102230246251565e-16,26,5
4,static_4,4,False,,1.0235802007477506,0.03335619219748065,20,1
4,adaptive_4,4,True,0.9999999999999997,0.9999999999999997,3.3306690738754696e-16,27,3
4,static_8,8,False,,1.0339260268888295,0.06650060149362158,40,1
4,adaptive_8,8,True,1.0000000000000004,1.0000000000000004,1.1102230246251565e-15,49,4
4,full_disclosure,18,True,1.0,1.0,3.552713678800501e-15,90,1
5,static_1,1,False,,1.6526336075201384,0.8654764969597046,5,1
5,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,1.1102230246251565e-16,27,6
5,static_2,2,False,,1.2927959895119425,0.42805781105705887,10,1
5,adaptive_2,2,True,0.9999999999999996,0.9999999999999996,-1.1102230246251565e-16,21,4
5,static_4,4,False,,1.2749313139682763,0.4148869228747526,20,1
5,adaptive_4,4,True,0.9999999999999994,0.9999999999999994,2.220446049250313e-16,32,4
5,static_8,8,False,,1.070196015628593,0.13427229490473946,40,1
5,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,2.220446049250313e-16,45,3
5,full_disclosure,18,True,1.0,1.0,8.881784197001252e-16,90,1
6,static_1,1,False,,1.511447558611056,0.4952330258018779,5,1
6,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,16,4
6,static_2,2,False,,1.2159565864556114,0.4403713938729952,10,1
6,adaptive_2,2,True,0.9999999999999997,0.9999999999999997,1.887379141862766e-15,28,6
6,static_4,4,False,,1.1739542186316465,0.4796534413826721,20,1
6,adaptive_4,4,True,0.9999999999999997,0.9999999999999997,4.996003610813204e-16,34,5
6,static_8,8,False,,1.0387632678502534,0.08308198689296853,40,1
6,adaptive_8,8,True,0.9999999999999998,0.9999999999999998,2.220446049250313e-16,43,3
6,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
7,static_1,1,False,,1.246182546813283,0.5278865676666163,5,1
7,adaptive_1,1,True,1.0000000000000004,1.0000000000000004,2.220446049250313e-16,20,5
7,static_2,2,False,,1.684326466494112,0.5419402714877715,10,1
7,adaptive_2,2,True,0.9999999999999994,0.9999999999999994,4.440892098500626e-16,30,7
7,static_4,4,False,,1.0451150867659742,0.23353724152958966,20,1
7,adaptive_4,4,True,1.0000000000000002,1.0000000000000002,4.440892098500626e-16,32,4
7,static_8,8,False,,1.1389573726882334,0.14372253698282156,40,1
7,adaptive_8,8,True,1.0,1.0,2.220446049250313e-16,44,3
7,full_disclosure,18,True,1.0,1.0,2.7755575615628914e-16,90,1
8,static_1,1,False,,1.446719880022996,0.6797303832088261,5,1
8,adaptive_1,1,True,1.0000000000000004,1.0000000000000004,6.661338147750939e-16,22,5
8,static_2,2,False,,1.04781773965056,0.2112785535099786,10,1
8,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,5.551115123125783e-16,20,5
8,static_4,4,False,,1.2762015433990468,0.5296194424511037,20,1
8,adaptive_4,4,True,1.0,1.0,1.1102230246251565e-16,33,5
8,static_8,8,False,,1.010986155684955,0.08473929338741171,40,1
8,adaptive_8,8,True,1.0000000000000002,1.0000000000000002,1.1102230246251565e-16,43,2
8,full_disclosure,18,True,1.0,1.0,1.1102230246251565e-16,90,1
9,static_1,1,False,,1.851507643044309,0.7450223319015137,5,1
9,adaptive_1,1,True,1.000000000000001,1.000000000000001,1.1102230246251565e-16,25,6
9,static_2,2,False,,1.4257327409088445,0.5890363967494304,10,1
9,adaptive_2,2,True,1.0000000000000002,1.0000000000000002,1.1102230246251565e-16,27,6
9,static_4,4,False,,1.201567225095123,0.18716694871859463,20,1
9,adaptive_4,4,True,1.0000000000000018,1.0000000000000018,9.992007221626409e-16,34,5
9,static_8,8,False,,1.1362111992689379,0.15567937810306076,40,1
9,adaptive_8,8,True,1.0000000000000013,1.0000000000000013,3.3306690738754696e-16,46,4
9,full_disclosure,18,True,1.0,1.0,0.0,90,1
10,static_1,1,False,,1.4849725833232696,0.8345872947085371,5,1
10,adaptive_1,1,True,0.9999999999999992,0.9999999999999992,3.3306690738754696e-16,20,4
10,static_2,2,False,,1.4474008658410185,0.8216253296035807,10,1
10,adaptive_2,2,True,0.9999999999999994,0.9999999999999994,3.3306690738754696e-16,29,6
10,static_4,4,False,,1.123610626576098,0.3663676274609938,20,1
10,adaptive_4,4,True,0.9999999999999984,0.9999999999999984,3.3306690738754696e-16,35,5
10,static_8,8,False,,1.0720669604325135,0.1463264747468601,40,1
10,adaptive_8,8,True,0.9999999999999988,0.9999999999999988,1.1102230246251565e-16,46,3
10,full_disclosure,18,True,1.0,1.0,1.021405182655144e-14,90,1
11,static_1,1,False,,1.7695938204629966,0.6135902165200838,5,1
11,adaptive_1,1,True,1.0000000000000007,1.0000000000000007,1.6653345369377348e-16,17,4
