instance,method,feasible,cost_ratio,disclosed_modes,rounds
31,full_private_disclosure,True,1.0,79,1
32,public_profile_search,False,,24,1
32,random_20pct_disclosure,True,1.109068559696048,32,1
32,price_guided_oracle,True,1.0000000000000002,47,3
32,full_private_disclosure,True,1.0,67,1
33,public_profile_search,False,,24,1
33,random_20pct_disclosure,True,1.4837785163088848,36,1
33,price_guided_oracle,True,1.0,54,4
33,full_private_disclosure,True,1.0,84,1
34,public_profile_search,False,,24,1
34,random_20pct_disclosure,True,1.8881722339464315,34,1
34,price_guided_oracle,True,1.0,49,3
34,full_private_disclosure,True,1.0,77,1
35,public_profile_search,False,,24,1
35,random_20pct_disclosure,True,1.6281497955459152,33,1
35,price_guided_oracle,True,1.0,54,4
35,full_private_disclosure,True,1.0,73,1
36,public_profile_search,False,,24,1
36,random_20pct_disclosure,True,2.5161889096134433,34,1
36,price_guided_oracle,True,1.0,49,3
36,full_private_disclosure,True,1.0,76,1
37,public_profile_search,True,3.0155697419548098,24,1
37,random_20pct_disclosure,True,1.9530076565552044,34,1
37,price_guided_oracle,True,1.0000000000000002,57,4
37,full_private_disclosure,True,1.0,78,1
38,public_profile_search,False,,24,1
38,random_20pct_disclosure,True,1.6559304291680566,35,1
38,price_guided_oracle,True,1.0,53,4
38,full_private_disclosure,True,1.0,82,1
39,public_profile_search,False,,24,1
39,random_20pct_disclosure,True,1.644745593970182,33,1
39,price_guided_oracle,True,1.0,51,4
39,full_private_disclosure,True,1.0,72,1
40,public_profile_search,False,,24,1
40,random_20pct_disclosure,True,2.177529822222624,35,1
40,price_guided_oracle,True,1.0,53,4
40,full_private_disclosure,True,1.0,81,1
41,public_profile_search,False,,24,1
41,random_20pct_disclosure,True,2.0255549470594545,33,1
41,price_guided_oracle,True,1.0000000000000002,56,4
41,full_private_disclosure,True,1.0,73,1
42,public_profile_search,False,,24,1
42,random_20pct_disclosure,True,1.4082697339380328,35,1
42,price_guided_oracle,True,1.0,58,5
42,full_private_disclosure,True,1.0,79,1
43,public_profile_search,False,,24,1
43,random_20pct_disclosure,True,1.936365456277326,33,1
43,price_guided_oracle,True,1.0,53,4
43,full_private_disclosure,True,1.0,72,1
44,public_profile_search,False,,24,1
44,random_20pct_disclosure,True,2.768410723248691,35,1
44,price_guided_oracle,True,1.0,51,4
44,full_private_disclosure,True,1.0,80,1
45,public_profile_search,False,,24,1
45,random_20pct_disclosure,True,1.614397273273015,33,1
45,price_guided_oracle,True,1.0,54,4
45,full_private_disclosure,True,1.0,71,1
46,public_profile_search,False,,24,1
46,random_20pct_disclosure,True,1.7897525877845684,34,1
46,price_guided_oracle,True,1.0,51,4
46,full_private_disclosure,True,1.0,74,1
47,public_profile_search,False,,24,1
47,random_20pct_disclosure,True,1.3233058608283415,33,1
47,price_guided_oracle,True,1.0000000000000002,55,4
47,full_private_disclosure,True,1.0,73,1
48,public_profile_search,False,,24,1
48,random_20pct_disclosure,True,2.222960567552199,33,1
48,price_guided_oracle,True,1.0,53,4
48,full_private_disclosure,True,1.0,73,1
49,public_profile_search,False,,24,1
49,random_20pct_disclosure,True,2.268783572873635,34,1
49,price_guided_oracle,True,1.0,51,4
49,full_private_disclosure,True,1.0,74,1
50,public_profile_search,False,,24,1
50,random_20pct_disclosure,True,1.9472691385500238,35,1
50,price_guided_oracle,True,1.0,55,4
50,full_private_disclosure,True,1.0,81,1
51,public_profile_search,False,,24,1
51,random_20pct_disclosure,False,,34,1
51,price_guided_oracle,True,1.0,51,3
51,full_private_disclosure,True,1.0,78,1
52,public_profile_search,False,,24,1
52,random_20pct_disclosure,True,1.477354097810922,35,1
52,price_guided_oracle,True,1.0,55,4
52,full_private_disclosure,True,1.0,82,1
53,public_profile_search,False,,24,1
53,random_20pct_disclosure,True,1.3466392751678058,35,1
53,price_guided_oracle,True,0.9999999999999997,60,3
53,full_private_disclosure,True,1.0,79,1
54,public_profile_search,False,,24,1
54,random_20pct_disclosure,True,2.2997895323716313,35,1
54,price_guided_oracle,True,1.0000000000000002,54,4
54,full_private_disclosure,True,1.0,79,1
55,public_profile_search,False,,24,1
55,random_20pct_disclosure,True,1.8437774801645506,34,1
55,price_guided_oracle,True,1.0,51,4
55,full_private_disclosure,True,1.0,76,1
56,public_profile_search,False,,24,1
56,random_20pct_disclosure,True,2.066476291597085,34,1
56,price_guided_oracle,True,0.9999999999999997,56,5
56,full_private_disclosure,True,1.0,77,1
57,public_profile_search,False,,24,1
57,random_20pct_disclosure,True,1.8986473293863981,35,1
57,price_guided_oracle,True,1.0,52,3
57,full_private_disclosure,True,1.0,80,1
58,public_profile_search,False,,24,1
58,random_20pct_disclosure,True,1.7047666389665532,35,1
58,price_guided_oracle,True,0.9999999999999997,50,3
58,full_private_disclosure,True,1.0,81,1
59,public_profile_search,False,,24,1
59,random_20pct_disclosure,True,1.6298670542178668,36,1
59,price_guided_oracle,True,1.0,54,4
59,full_private_disclosure,True,1.0,85,1
60,public_profile_search,False,,24,1
60,random_20pct_disclosure,True,2.6173318149951625,34,1
60,price_guided_oracle,True,0.9999999999999999,55,4
60,full_private_disclosure,True,1.0,77,1
61,public_profile_search,False,,24,1
61,random_20pct_disclosure,True,1.3796470065885065,35,1
61,price_guided_oracle,True,0.9999999999999998,54,3
61,full_private_disclosure,True,1.0,81,1
62,public_profile_search,False,,24,1
62,random_20pct_disclosure,False,,33,1
62,price_guided_oracle,True,1.0,54,4
62,full_private_disclosure,True,1.0,70,1
63,public_profile_search,True,2.497271066650982,24,1
63,random_20pct_disclosure,True,1.2515174991106932,34,1
63,price_guided_oracle,True,1.0,45,4
63,full_private_disclosure,True,1.0,78,1
64,public_profile_search,False,,24,1
64,random_20pct_disclosure,True,1.4821426273185079,33,1
64,price_guided_oracle,True,1.0,54,4
64,full_private_disclosure,True,1.0,73,1
65,public_profile_search,False,,24,1
65,random_20pct_disclosure,True,1.5648119554739677,35,1
65,price_guided_oracle,True,1.009899276181943,54,3
65,full_private_disclosure,True,1.0,80,1
66,public_profile_search,False,,24,1
66,random_20pct_disclosure,True,1.384900597412029,33,1
66,price_guided_oracle,True,1.0,49,4
66,full_private_disclosure,True,1.0,70,1
67,public_profile_search,False,,24,1
67,random_20pct_disclosure,True,1.9054705234316658,34,1
67,price_guided_oracle,True,1.0,49,3
67,full_private_disclosure,True,1.0,74,1
68,public_profile_search,False,,24,1
68,random_20pct_disclosure,True,2.2160085196710204,35,1
68,price_guided_oracle,True,1.0,58,4
68,full_private_disclosure,True,1.0,83,1
69,public_profile_search,False,,24,1
69,random_20pct_disclosure,True,1.910963610606871,33,1
69,price_guided_oracle,True,1.0,53,4
69,full_private_disclosure,True,1.0,73,1
70,public_profile_search,False,,24,1
70,random_20pct_disclosure,True,2.011905547900424,34,1
70,price_guided_oracle,True,1.0,52,4
70,full_private_disclosure,True,1.0,75,1
71,public_profile_search,False,,24,1
71,random_20pct_disclosure,True,1.4766071670402348,33,1
71,price_guided_oracle,True,1.0197072272263674,51,4
71,full_private_disclosure,True,1.0,73,1
72,public_profile_search,False,,24,1
72,random_20pct_disclosure,True,1.792887626268612,33,1
72,price_guided_oracle,True,1.0,49,3
72,full_private_disclosure,True,1.0,71,1
73,public_profile_search,False,,24,1
73,random_20pct_disclosure,True,1.2835487349734167,33,1
73,price_guided_oracle,True,1.0,56,4
73,full_private_disclosure,True,1.0,69,1
74,public_profile_search,False,,24,1
74,random_20pct_disclosure,True,2.128302151047035,32,1
74,price_guided_oracle,True,1.0,52,5
74,full_private_disclosure,True,1.0,68,1
75,public_profile_search,False,,24,1
75,random_20pct_disclosure,True,1.179102451501019,33,1
75,price_guided_oracle,True,1.0,49,3
75,full_private_disclosure,True,1.0,69,1
76,public_profile_search,False,,24,1
76,random_20pct_disclosure,True,1.72276958590114,34,1
76,price_guided_oracle,True,1.0,50,4
76,full_private_disclosure,True,1.0,78,1
77,public_profile_search,False,,24,1
77,random_20pct_disclosure,True,1.7231648922751277,33,1
77,price_guided_oracle,True,1.0,51,4
77,full_private_disclosure,True,1.0,72,1
78,public_profile_search,False,,24,1
78,random_20pct_disclosure,True,2.932106171635847,35,1
78,price_guided_oracle,True,1.0,57,5
78,full_private_disclosure,True,1.0,83,1
79,public_profile_search,False,,24,1
79,random_20pct_disclosure,True,1.7787160931022241,34,1
79,price_guided_oracle,True,1.0,53,4
79,full_private_disclosure,True,1.0,77,1
80,public_profile_search,False,,24,1
80,random_20pct_disclosure,False,,34,1
80,price_guided_oracle,True,1.0,53,5
80,full_private_disclosure,True,1.0,75,1
81,public_profile_search,False,,24,1
81,random_20pct_disclosure,False,,33,1
81,price_guided_oracle,True,1.0,56,4
81,full_private_disclosure,True,1.0,72,1
82,public_profile_search,False,,24,1
82,random_20pct_disclosure,True,2.4960473202347844,33,1
82,price_guided_oracle,True,1.0000000000000002,58,3
82,full_private_disclosure,True,1.0,73,1
83,public_profile_search,False,,24,1
83,random_20pct_disclosure,True,1.7951715046155106,33,1
83,price_guided_oracle,True,1.0,49,3
83,full_private_disclosure,True,1.0,72,1
84,public_profile_search,False,,24,1
84,random_20pct_disclosure,True,1.8630787540682412,33,1
84,price_guided_oracle,True,1.0,52,4
84,full_private_disclosure,True,1.0,70,1
85,public_profile_search,False,,24,1
85,random_20pct_disclosure,True,1.4771376593438688,34,1
85,price_guided_oracle,True,1.0,56,4
85,full_private_disclosure,True,1.0,76,1
86,public_profile_search,False,,24,1
86,random_20pct_disclosure,True,1.7757573634772177,33,1
86,price_guided_oracle,True,0.9999999999999997,54,3
86,full_private_disclosure,True,1.0,71,1
87,public_profile_search,False,,24,1
87,random_20pct_disclosure,True,1.621801573005486,35,1
87,price_guided_oracle,True,1.000000000000001,53,3
87,full_private_disclosure,True,1.0,80,1
88,public_profile_search,False,,24,1
